Date,Bitcoin-USD,Bitcoin-CNY,Gold,Composite Stock Index,Energy,Material,Industrial,Consumer discretionary,Consumer Staple,Health Care,Financials,Information Technology,Telecommunication,Utilities,Commodity,A-Shares,B-Shares,C-Bonds,T-Bonds
4/28/2023,29354.75,202917.64485,443.34,3323.275,1935.49,2379.32,2568.92,2803.53,14792.5,7254.52,4478.83,3699.73,3729.61,2335.13,2657.745,3483.629,2034.598,272.68,200.77
4/27/2023,29633.43,205137.419175,445.64,3285.884,1899.26,2378.14,2539.95,2801.06,14539.69,7259.4,4418.58,3607.59,3618.64,2340.43,2632.242,3444.423,2024.103,272.64,200.75
4/26/2023,28417.5,196876.44,445.68,3264.101,1899.24,2366.25,2515.12,2781.01,14464.82,7173.85,4342.77,3647.15,3673.68,2317.47,2621.989,3421.445,2025.11,272.58,200.67
4/25/2023,27979.6,193971.37496,443.2,3264.872,1895.31,2364.29,2489.23,2759.48,14474.24,7128.12,4377,3796.73,3734.5,2282.51,2599.579,3422.352,2020.312,272.54,200.65
4/24/2023,27460.55,189362.46069,441.09,3275.413,1885.48,2376.36,2524.34,2791.2,14256.5,7297.4,4335.17,3856.83,3781.15,2276.71,2627.8,3433.417,2015.599,272.49,200.58
4/21/2023,27272.1,187942.94994,431.97,3301.258,1899.98,2436.14,2556.1,2830.04,14459.8,7338.08,4360.1,3934.37,3744.47,2266.85,2670.845,3460.565,2012.984,272.38,200.51
4/20/2023,28203.91,193879.318122,443.4,3367.031,1928.09,2494.18,2583.74,2886.08,14575.35,7386.12,4453.89,4159.18,3878.52,2291.83,2725.363,3529.536,2030.634,272.38,200.49
4/19/2023,29249.26,201372.380322,442.51,3370.128,1929.72,2538.25,2585.14,2923.95,14758.8,7484.86,4448.03,4015.67,3799.99,2295.02,2761.046,3532.784,2038.226,272.36,200.49
4/18/2023,30422,209187.7564,443.42,3393.331,1940.11,2553.08,2625.66,2967.82,14882.07,7543.79,4464.68,4016.39,3872.05,2298.98,2770.057,3557.06,2048.694,272.31,200.45
4/17/2023,29459.36,202677.450864,444.27,3385.61,1924.78,2557.72,2614.81,2962.66,14780.39,7661.19,4414.68,4031.75,3833.27,2318.68,2764.028,3548.861,2047.535,272.3,200.39
4/14/2023,30470.31,209303.606421,449.53,3338.153,1858.61,2514.43,2575.47,2916.27,14607.13,7608.1,4298.75,4052.69,3850.67,2297.32,2716.342,3499.008,2040.163,272.21,200.34
4/13/2023,30285.33,207987.532308,447.42,3318.364,1850.16,2481.23,2557.78,2906.88,14747.27,7624.91,4285.52,3925.01,3863.4,2266.71,2690.07,3478.267,2038.1,272.18,200.33
4/12/2023,29968.01,205970.13273,447.82,3327.182,1847.49,2499.98,2559.58,2920.09,14627.55,7455.17,4283.29,4079.69,3942.33,2258.75,2700.98,3487.59,2025.364,272.12,200.27
4/11/2023,30192.1,207902.8006,443,3313.571,1821.5,2495.4,2564.64,2948.21,14951.29,7520.83,4270.6,3992.79,3790.93,2260.48,2686.094,3473.32,2021.946,272.09,200.23
4/10/2023,29142.36,200636.405892,441.37,3315.358,1819.55,2463.12,2577.17,2949.93,15164.09,7519.21,4273.63,3999.99,3784.37,2264.07,2663.517,3475.194,2019.869,272.06,200.24
4/7/2023,27890.37,191548.272123,446.3,3327.646,1814.73,2465.88,2557.09,2966.9,15338.08,7499.78,4261.96,4175.25,3852.32,2217.29,2662.472,3488.004,2035.92,271.95,200.07
4/6/2023,27992.29,192391.00917,445.89,3312.628,1830.64,2464.15,2560.51,2935.87,15359.09,7296.57,4229.65,4148.06,3810.97,2210.92,2670.231,3472.28,2031.638,271.92,200.04
4/4/2023,28257.1,194389.06803,439.73,3312.558,1848.41,2439.77,2559.74,2939.07,15610.14,7249.6,4253.24,4065.23,3820.01,2220.91,2662.502,3472.126,2037.535,271.87,200
4/3/2023,27588.08,189742.537816,435.05,3296.396,1828.33,2442.39,2535.87,2980.35,15498.58,7152.5,4228.89,4025.18,3749.14,2209.76,2659.72,3455.149,2040.987,271.85,199.78
3/31/2023,28395.3,195177.93408,439.77,3272.86,1819.46,2445.55,2513.53,2985.18,15592.39,7247.48,4193.68,3827.49,3630.95,2224.64,2654.491,3430.447,2025.229,271.75,199.95
3/30/2023,28152.28,193423.054968,436.87,3261.249,1824.31,2432.96,2517.48,3016.07,15563.36,7243.85,4198.82,3744.68,3532.29,2221.88,2647.003,3418.23,2022.021,271.71,199.88
3/29/2023,28393,195613.5735,438.15,3240.057,1764.71,2411.58,2489.26,2970.21,15392.62,7209.19,4174.61,3734.91,3632.79,2199.67,2613.428,3396.172,2010.012,271.66,199.87
3/28/2023,27313.73,187817.401599,435.84,3245.376,1782.57,2429.71,2503.52,2956.91,15334.41,7224.42,4193.2,3649.48,3638.6,2198.8,2628.938,3401.733,2006.526,271.65,199.86
3/27/2023,27048.29,186146.33178,432.94,3251.397,1774.79,2433.2,2513.59,2946.01,15186.54,7210.95,4189.22,3737.24,3670.79,2201.56,2641.189,3408.038,2001.846,271.64,199.82
3/24/2023,27618.28,189663.014244,441.49,3265.654,1780.16,2439.91,2525.45,2950.07,15310.59,7136.9,4218.91,3770.83,3682.95,2231.93,2639.912,3423.043,2000.751,271.56,199.89
3/23/2023,28333,193321.7256,438.5,3286.649,1806.73,2459,2548.78,2940.09,15280.83,7228.62,4266.75,3733.71,3716.43,2252.46,2663.465,3445.155,1982.34,271.55,199.89
3/22/2023,27392.32,188185.2384,435.35,3265.748,1790.14,2444.03,2538.59,2947.81,15171.86,7238.87,4224.65,3584.51,3659.45,2249.72,2640.169,3423.229,1997.391,271.52,199.73
3/21/2023,28154.56,193683.664608,443,3255.65,1773.51,2449.55,2544.69,2964.87,15181.98,7204.43,4192.02,3539.77,3604.4,2250.36,2638.947,3412.64,1985.832,271.49,199.74
3/20/2023,28082.46,193123.07742,442.32,3234.91,1785.72,2430.36,2537.57,2893.93,14868.3,6998.72,4196.92,3543.58,3580.85,2253.69,2632.178,3390.978,1982.569,271.47,199.72
3/17/2023,26823.38,184724.571046,432.8,3250.546,1797.76,2424.53,2555.25,2895.89,15040.34,7094.3,4217.46,3495.56,3691.44,2285.91,2636.281,3407.344,2002.406,271.37,199.65
3/16/2023,24753.63,170750.53974,429.36,3226.891,1760.73,2413.91,2537.41,2912.07,15238.85,7204.65,4186.04,3377.61,3597.87,2280.74,2615.731,3382.525,1998.862,271.33,199.58
3/15/2023,24391.4,168454.32582,426.37,3263.315,1821.59,2475.13,2600.02,2932.64,15222.15,7263.98,4198.49,3388.71,3644.27,2292.42,2693.948,3420.726,2027.381,271.29,199.61
3/14/2023,24636.25,169337.264375,425.32,3245.312,1813.6,2470.92,2565.77,2938.7,15397.44,7248.85,4161.81,3411.83,3655.46,2262.49,2685.86,3401.865,2005.526,271.25,199.59
3/13/2023,24234.19,165963.003377,419.75,3268.696,1842.53,2495.96,2591.9,2965.48,15489.16,7289.9,4209.08,3346.4,3649.97,2252.97,2716.131,3426.341,2018.769,271.21,199.51
3/10/2023,20101.78,139048.032616,417.3,3230.077,1797.62,2467.1,2546.09,2954.86,15232.67,7292.14,4182.68,3281.62,3478.95,2236.18,2687.35,3385.768,2036.62,271.11,199.53
3/9/2023,20226.09,140876.739459,414.71,3276.094,1837.52,2507.2,2586.49,3039.1,15387.03,7302.65,4244.63,3314.36,3558.71,2252.5,2738.715,3434.017,2069.804,271.13,199.48
3/8/2023,22006.5,153147.6348,415.05,3283.248,1838.97,2525.9,2605.58,3075.45,15554.41,7300.75,4273.31,3289.64,3524.68,2263.94,2752.357,3441.508,2062.39,271.09,199.45
3/7/2023,22055.35,153641.97917,419.74,3285.099,1855.12,2544.71,2612.07,3084.11,15646.27,7342.91,4300.93,3241.88,3443.27,2273.36,2762.634,3443.518,2055.238,271.06,199.23
3/6/2023,22408.87,155333.805066,419.39,3322.026,1826.58,2568.98,2644.83,3133.64,15995.81,7476.28,4320.7,3336.41,3551.25,2289.36,2773.71,3482.24,2060.231,271.07,199.38
3/3/2023,22242.64,153569.859352,416,3328.393,1851.03,2585.73,2636.07,3156.73,16000.6,7437.12,4401.92,3331.04,3508.1,2279.15,2788.353,3488.886,2054.594,271,199.24
3/2/2023,23415.5,161960.3304,414.24,3310.654,1834.61,2592.39,2602.91,3161.06,16110.6,7443.99,4371.76,3291.58,3485.02,2255.38,2783.41,3470.268,2052.909,270.95,199.28
3/1/2023,23558.34,161841.084132,414,3312.348,1824.91,2588.09,2595.18,3190.53,16153.43,7515.93,4365.54,3292.01,3437.02,2246.46,2786.952,3472.107,2036.114,270.91,199.32
2/28/2023,23146.88,160537.500928,414.25,3279.605,1818.91,2559.75,2564.96,3176.64,16062.92,7513.43,4293.54,3231.81,3282.48,2227.09,2769.34,3437.752,2051.722,270.87,199.27
2/27/2023,23384.87,162386.875767,413.16,3258.034,1823.9,2552.18,2552.9,3166.21,15997.17,7416.35,4268.67,3204.85,3204.19,2196.82,2771.227,3415.151,2058.97,270.81,199.27
2/24/2023,23101.79,160790.768579,413.95,3267.16,1814.85,2558.31,2558.56,3174.64,15854.21,7477.39,4291.66,3248.18,3223.14,2199.1,2766.463,3424.615,2078.754,270.73,199.24
2/23/2023,23878.02,164951.749962,412.65,3287.477,1820.57,2584.8,2581.11,3217.95,16070.72,7526.15,4343.35,3241.86,3214.35,2205.94,2782.85,3445.938,2065.825,270.72,199.22
2/22/2023,23805.88,164091.550252,413.7,3291.148,1807.45,2581.3,2570.26,3207.93,16188.02,7578.54,4339.49,3272.18,3251.78,2211.25,2773.454,3449.767,2060.878,270.7,199.22
2/21/2023,24199.85,166482.868075,412.79,3306.524,1808.28,2615.74,2582.83,3214.52,16224.21,7628.76,4382.53,3276.73,3327.51,2222.31,2782.612,3465.919,2058.364,270.69,199.18
2/20/2023,24769.17,169797.614184,413.27,3290.338,1775.69,2565.72,2556.69,3192.68,16345.67,7637.78,4371.66,3283.98,3302.9,2209.77,2729.606,3448.954,2046.08,270.67,199.23
2/17/2023,24487.25,168193.12535,411.7,3224.024,1735.09,2502.25,2501.07,3112.5,16099.2,7564.33,4249.05,3220.78,3157.53,2184.45,2671.316,3379.404,2023.047,270.56,199.21
2/16/2023,24535.46,168251.91695,411.95,3249.03,1715.05,2491.33,2525.24,3145.16,16214.77,7536.71,4287.27,3343.24,3253.3,2196.6,2653.589,3405.649,2020.806,270.51,199.17
